Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,SV Wiler-Ersigen,22,20,0,1,1,217:113,104,61
2,,Grasshopper Club Zürich,22,13,2,2,5,166:118,48,45
3,,Tigers Langnau,22,14,1,0,7,169:123,46,44
4,,Floorball Köniz,22,12,2,3,5,132:111,21,43
5,,HC Rychenberg Winterthur,22,10,4,0,8,155:144,11,38
6,,Chur Unihockey,22,10,2,3,7,146:125,21,37
7,,UHC Alligator Malans,22,10,1,3,8,146:126,20,35
8,,UHC Grünenmatt,22,9,2,1,10,130:137,-7,32
9,,UHC Uster,22,7,1,2,12,124:164,-40,25
10,,Waldkirch-St. Gallen,22,4,2,3,13,104:146,-42,19
11,,Kloten-Bülach Jets,22,3,2,1,16,101:164,-63,14
12,,Zug United,22,1,0,0,21,88:207,-119,3
