Rg.,Unnamed: 1,Team,Sp,SoW,S,SnV,NnV,N,T,TD,PQ,P
1,,Grasshopper Club Zürich,22,0,14,1,2,5,160:102,58,2.091,46
2,,Floorball Köniz,22,0,12,3,2,5,128:96,32,2.0,44
3,,HC Rychenberg Winterthur,22,0,11,5,1,5,137:110,27,2.0,44
4,,SV Wiler-Ersigen,22,0,9,6,3,4,132:88,44,1.909,42
5,,Waldkirch-St. Gallen,22,0,12,1,4,5,117:97,20,1.909,42
6,,Tigers Langnau,22,0,10,2,3,7,156:129,27,1.682,37
7,,Zug United,22,0,9,4,2,7,120:124,-4,1.682,37
8,,UHC Alligator Malans,22,0,6,2,3,11,96:127,-31,1.136,25
9,,Unihockey Basel Regio,22,0,6,2,1,13,106:144,-38,1.045,23
10,,Floorball Thurgau,22,0,5,2,3,12,112:146,-34,1.0,22
11,,UHC Uster,22,0,6,0,3,13,118:153,-35,0.955,21
12,,Chur Unihockey,22,0,3,1,2,16,80:146,-66,0.591,13
