Rg.,Unnamed: 1,Team,Sp,S,SnV,NnV,N,T,TD,P
1,,piranha chur,18,17,0,0,1,129:43,86,51
2,,Kloten-Dietlikon Jets,18,14,1,1,2,120:52,68,45
3,,Wizards Bern Burgdorf,18,13,1,0,4,118:61,57,41
4,,Unihockey Berner Oberland,18,12,0,0,6,95:66,29,36
5,,Skorpion Emmental Zollbrück,18,10,1,1,6,102:69,33,33
6,,Red Ants Winterthur,18,6,1,0,11,54:93,-39,20
7,,UHC Laupen ZH,18,6,0,1,11,55:95,-40,19
8,,Zug United,18,3,1,2,12,55:97,-42,13
9,,UH Red Lions Frauenfeld,18,1,1,2,14,42:108,-66,7
10,,Aergera Giffers,18,0,2,1,15,49:135,-86,5
