Rg.,Unnamed: 1,Team,Sp,SoW,S,SnV,NnV,N,T,TD,PQ,P
1,,Kloten-Dietlikon Jets,18,0,16,0,0,2,135:41,94,2.667,48
2,,Skorpion Emmental Zollbrück,18,0,16,0,0,2,141:49,92,2.667,48
3,,piranha chur,18,0,14,1,0,3,102:45,57,2.444,44
4,,Red Ants Winterthur,18,0,9,0,0,9,68:78,-10,1.5,27
5,,Wizards Bern Burgdorf,18,0,7,0,2,9,98:91,7,1.278,23
6,,Unihockey Berner Oberland,18,0,5,3,1,9,76:81,-5,1.222,22
7,,Zug United,18,0,7,0,1,10,73:91,-18,1.222,22
8,,UHC Laupen ZH,18,0,5,2,1,10,73:96,-23,1.111,20
9,,FB Riders DBR,18,0,4,0,1,13,45:118,-73,0.722,13
10,,UH Red Lions Frauenfeld,18,0,1,0,0,17,37:158,-121,0.167,3
